Name	Date time	Maximum Temperature	Minimum Temperature	Temperature	Wind Chill	Heat Index	Precipitation	Snow	Snow Depth	Wind Speed	Wind Direction	Wind Gust	Visibility	Cloud Cover	Relative Humidity	Conditions	datetime	year	month	day	unix
Новосибирск, Сибирский федеральный округ, Россия	04/10/1970	9.9	-1.5	3.9	-6.7		0.0		0.0	27.3	154.88		10.9	44.3	51.49	Partially cloudy	1970-04-10	1970	4	10	8553600
Новосибирск, Сибирский федеральный округ, Россия	04/11/1970	11.5	4.7	6.8	-0.1		75.0		0.0	48.6	194.25		11.9	72.8	59.35	Rain, Partially cloudy	1970-04-11	1970	4	11	8640000
Новосибирск, Сибирский федеральный округ, Россия	04/12/1970	5.2	2.5	3.8	-2.7		99.0		0.0	31.2	235.38		11.1	87.6	77.44	Rain, Overcast	1970-04-12	1970	4	12	8726400
Новосибирск, Сибирский федеральный округ, Россия	04/13/1970	5.1	2.9	4.0	-0.9		84.36		0.0	26.4	248.13		12.9	99.2	76.95	Rain, Overcast	1970-04-13	1970	4	13	8812800
Новосибирск, Сибирский федеральный округ, Россия	04/14/1970	2.6	0.3	1.8	-4.6		18.66		0.0	26.7	159.63		7.0	99.7	86.99	Rain, Overcast	1970-04-14	1970	4	14	8899200
Новосибирск, Сибирский федеральный округ, Россия	04/15/1970	8.9	-0.4	3.4	-5.6		59.25		0.0	35.3	215.25		8.3	96.2	89.35	Rain, Overcast	1970-04-15	1970	4	15	8985600
Новосибирск, Сибирский федеральный округ, Россия	04/16/1970	16.8	8.5	11.2	5.3		0.0		0.0	47.9	215.63		11.2	87.4	71.17	Overcast	1970-04-16	1970	4	16	9072000
Новосибирск, Сибирский федеральный округ, Россия	04/17/1970	8.5	-3.5	1.0	-9.6		75.0		0.0	33.7	277.75		14.7	56.8	63.0	Rain, Partially cloudy	1970-04-17	1970	4	17	9158400
Новосибирск, Сибирский федеральный округ, Россия	04/18/1970	3.0	-5.9	-1.2	-10.4		75.0		0.0	37.7	241.63		13.5	4.1	59.24	Rain	1970-04-18	1970	4	18	9244800
Новосибирск, Сибирский федеральный округ, Россия	04/19/1970	8.9	-2.0	3.4	-6.9		0.0		0.0	29.6	209.38		13.9	22.3	47.91	Clear	1970-04-19	1970	4	19	9331200
