Name	Date time	Maximum Temperature	Minimum Temperature	Temperature	Wind Chill	Heat Index	Precipitation	Snow	Snow Depth	Wind Speed	Wind Direction	Wind Gust	Visibility	Cloud Cover	Relative Humidity	Conditions	datetime	year	month	day	unix
Москва, Центральный федеральный округ, Россия	04/03/1970	3.9	2.2	3.3	-1.7		0.0			14.8	158.33		2.9	100.0	93.71	Overcast	1970-04-03	1970.0	4.0	3.0	7948800
Москва, Центральный федеральный округ, Россия	04/04/1970	7.2	2.9	4.9	-0.6		0.0			25.9	127.14		8.0	92.5	80.78	Overcast	1970-04-04	1970.0	4.0	4.0	8035200
Москва, Центральный федеральный округ, Россия	04/05/1970	3.9	2.9	3.4	-2.3		0.0			25.9	135.0		6.3	97.5	92.96	Overcast	1970-04-05	1970.0	4.0	5.0	8121600
Москва, Центральный федеральный округ, Россия	04/06/1970	5.1	2.9	3.9	-0.2		0.0			14.8	145.0		3.6	100.0	94.8	Overcast	1970-04-06	1970.0	4.0	6.0	8208000
Москва, Центральный федеральный округ, Россия	04/07/1970	5.1	2.9	4.0	-1.9		0.0			25.9	103.75		7.5	97.5	89.54	Overcast	1970-04-07	1970.0	4.0	7.0	8294400
Москва, Центральный федеральный округ, Россия	04/08/1970	6.2	2.2	3.0	-3.2		0.0		0.0	25.9	188.75		7.5	62.5	84.68	Partially cloudy	1970-04-08	1970.0	4.0	8.0	8380800
Москва, Центральный федеральный округ, Россия	04/09/1970	11.2	-1.1	5.6	-2.5		0.0			11.2	168.33		6.9	3.8	73.46	Clear	1970-04-09	1970.0	4.0	9.0	8467200
Москва, Центральный федеральный округ, Россия	04/10/1970	10.1	2.2	6.3	2.3		0.0		0.0	25.9	148.0		4.6	56.3	81.08	Partially cloudy	1970-04-10	1970.0	4.0	10.0	8553600
Москва, Центральный федеральный округ, Россия	04/11/1970	11.2	3.9	7.1	-0.2		0.0			25.9	230.0		7.8	51.3	69.91	Partially cloudy	1970-04-11	1970.0	4.0	11.0	8640000
Москва, Центральный федеральный округ, Россия	04/12/1970	11.2	3.9	6.7	1.9		0.0		0.0	25.9	212.86		10.0	72.5	71.68	Partially cloudy	1970-04-12	1970.0	4.0	12.0	8726400
Москва, Центральный федеральный округ, Россия	04/13/1970	5.1	2.2	3.0	-3.2		0.0		0.0	25.9	57.14		5.4	97.5	83.54	Overcast	1970-04-13	1970.0	4.0	13.0	8812800
Москва, Центральный федеральный округ, Россия	04/14/1970	3.9	1.2	2.7	-3.2		0.0		0.0	25.9	38.57		3.9	100.0	96.55	Overcast	1970-04-14	1970.0	4.0	14.0	8899200
